datatype,flow,timestamp,value
packetcount,Gold,1612299313,1017
bitrate,Gold,1612299313,11911104
packetcount,S2,1612299314,800
packetcount,Gold,1612299314,1443
bitrate,S2,1612299314,9228800
bitrate,Gold,1612299314,16900416
packetcount,S1,1612299314,799
bitrate,S1,1612299314,9217264
packetcount,Bronze,1612299314,1248
bitrate,Bronze,1612299314,14616576
packetcount,S2,1612299315,801
bitrate,Gold,1612299315,20261760
packetcount,Gold,1612299315,1730
bitrate,S2,1612299315,9240336
packetcount,S1,1612299315,800
bitrate,S1,1612299315,9228800
packetcount,Bronze,1612299315,958
bitrate,Bronze,1612299315,11220096
packetcount,S2,1612299316,804
packetcount,S1,1612299316,799
bitrate,S1,1612299316,9217264
bitrate,Gold,1612299316,18551808
bitrate,S2,1612299316,9274944
packetcount,Gold,1612299316,1584
packetcount,Bronze,1612299316,1102
bitrate,Bronze,1612299316,12906624
packetcount,S1,1612299317,794
bitrate,Gold,1612299317,17649984
bitrate,S1,1612299317,9159584
packetcount,Gold,1612299317,1507
bitrate,S2,1612299317,9228800
packetcount,S2,1612299317,800
packetcount,Bronze,1612299317,1188
bitrate,Bronze,1612299317,13913856
packetcount,S2,1612299318,801
packetcount,Bronze,1612299318,1512
bitrate,Bronze,1612299318,17708544
bitrate,S2,1612299318,9240336
packetcount,S1,1612299318,795
bitrate,S1,1612299318,9171120
packetcount,Gold,1612299318,1181
bitrate,Gold,1612299318,13831872
bitrate,Bronze,1612299319,18797760
packetcount,Bronze,1612299319,1605
packetcount,S1,1612299319,799
packetcount,S2,1612299319,805
bitrate,S1,1612299319,9217264
bitrate,S2,1612299319,9286480
packetcount,Gold,1612299319,1080
bitrate,Gold,1612299319,12648960
packetcount,Bronze,1612299320,1685
bitrate,Bronze,1612299320,19734720
packetcount,S2,1612299320,801
packetcount,Gold,1612299320,1011
bitrate,Gold,1612299320,11840832
packetcount,S1,1612299320,793
bitrate,S1,1612299320,9148048
bitrate,S2,1612299320,9240336
bitrate,Gold,1612299321,14792256
packetcount,Gold,1612299321,1263
packetcount,S2,1612299321,798
bitrate,S2,1612299321,9205728
packetcount,Bronze,1612299321,1434
bitrate,Bronze,1612299321,16795008
bitrate,S1,1612299321,9159584
packetcount,S1,1612299321,794
packetcount,S1,1612299322,798
bitrate,Gold,1612299322,17052672
packetcount,Gold,1612299322,1456
packetcount,S2,1612299322,804
bitrate,S1,1612299322,9205728
packetcount,Bronze,1612299322,1230
bitrate,S2,1612299322,9274944
bitrate,Bronze,1612299322,14405760
packetcount,S2,1612299323,798
bitrate,S2,1612299323,9205728
packetcount,Bronze,1612299323,1122
bitrate,Bronze,1612299323,13140864
packetcount,S1,1612299323,794
bitrate,S1,1612299323,9159584
bitrate,Gold,1612299323,18446400
packetcount,Gold,1612299323,1575
bitrate,Gold,1612299324,12976896
packetcount,Gold,1612299324,1108
packetcount,S2,1612299324,798
bitrate,S2,1612299324,9205728
bitrate,S1,1612299324,9182656
packetcount,S1,1612299324,796
bitrate,Bronze,1612299324,18598656
packetcount,Bronze,1612299324,1588
packetcount,S1,1612299325,795
packetcount,S2,1612299325,803
packetcount,Bronze,1612299325,1557
bitrate,Bronze,1612299325,18235584
bitrate,S1,1612299325,9171120
packetcount,Gold,1612299325,1134
bitrate,S2,1612299325,9263408
bitrate,Gold,1612299325,13281408
packetcount,Gold,1612299326,1254
bitrate,S1,1612299326,9217264
bitrate,Gold,1612299326,14686848
packetcount,S1,1612299326,799
packetcount,S2,1612299326,803
bitrate,S2,1612299326,9263408
packetcount,Bronze,1612299326,1433
bitrate,Bronze,1612299326,16783296
packetcount,Gold,1612299327,1201
packetcount,S2,1612299327,798
packetcount,S1,1612299327,797
bitrate,S1,1612299327,9194192
bitrate,Gold,1612299327,14066112
bitrate,S2,1612299327,9205728
packetcount,Bronze,1612299327,1494
bitrate,Bronze,1612299327,17497728
bitrate,S1,1612299328,9228800
packetcount,S1,1612299328,800
packetcount,Gold,1612299328,1078
packetcount,S2,1612299328,804
bitrate,Gold,1612299328,12625536
bitrate,S2,1612299328,9274944
packetcount,Bronze,1612299328,1607
bitrate,Bronze,1612299328,18821184
packetcount,Bronze,1612299329,1425
bitrate,S1,1612299329,9205728
bitrate,Bronze,1612299329,16689600
packetcount,S1,1612299329,798
packetcount,Gold,1612299329,1262
bitrate,Gold,1612299329,14780544
packetcount,S2,1612299329,804
bitrate,S2,1612299329,9274944
packetcount,S2,1612299330,801
bitrate,S2,1612299330,9240336
packetcount,Bronze,1612299330,1441
bitrate,Bronze,1612299330,16876992
packetcount,S1,1612299330,797
bitrate,S1,1612299330,9194192
packetcount,Gold,1612299330,1250
bitrate,Gold,1612299330,14640000
bitrate,S1,1612299331,9205728
packetcount,S1,1612299331,798
bitrate,Gold,1612299331,12449856
packetcount,S2,1612299331,803
packetcount,Gold,1612299331,1063
bitrate,S2,1612299331,9263408
packetcount,Bronze,1612299331,1625
bitrate,Bronze,1612299331,19032000
bitrate,S1,1612299332,9090368
packetcount,Gold,1612299332,1620
packetcount,S1,1612299332,788
bitrate,Gold,1612299332,18973440
packetcount,S2,1612299332,798
packetcount,Bronze,1612299332,1083
bitrate,Bronze,1612299332,12684096
bitrate,S2,1612299332,9205728
packetcount,Gold,1612299333,1508
bitrate,Gold,1612299333,17661696
bitrate,S1,1612299333,9171120
packetcount,S1,1612299333,795
bitrate,S2,1612299333,9251872
packetcount,S2,1612299333,802
bitrate,Bronze,1612299333,13867008
packetcount,Bronze,1612299333,1184
packetcount,Gold,1612299334,1441
packetcount,S2,1612299334,801
bitrate,Gold,1612299334,16876992
bitrate,S2,1612299334,9240336
bitrate,S1,1612299334,9194192
packetcount,S1,1612299334,797
bitrate,Bronze,1612299334,14651712
packetcount,Bronze,1612299334,1251
bitrate,S1,1612299335,9171120
bitrate,Gold,1612299335,16795008
packetcount,Gold,1612299335,1434
packetcount,S1,1612299335,795
packetcount,S2,1612299335,802
bitrate,S2,1612299335,9251872
packetcount,Bronze,1612299335,1258
bitrate,Bronze,1612299335,14733696
packetcount,Gold,1612299336,1167
bitrate,Gold,1612299336,13667904
bitrate,S2,1612299336,9298016
packetcount,S2,1612299336,806
packetcount,S1,1612299336,802
bitrate,S1,1612299336,9251872
packetcount,Bronze,1612299336,1514
bitrate,Bronze,1612299336,17731968
packetcount,Bronze,1612299337,1425
bitrate,Bronze,1612299337,16689600
packetcount,S2,1612299337,799
bitrate,S2,1612299337,9217264
packetcount,S1,1612299337,796
bitrate,S1,1612299337,9182656
packetcount,Gold,1612299337,1269
bitrate,Gold,1612299337,14862528
bitrate,Bronze,1612299338,15588672
packetcount,Bronze,1612299338,1331
packetcount,S2,1612299338,801
bitrate,S2,1612299338,9240336
