datatype,flow,timestamp,value,time_offset
packetcount,Bronze,1612299295,1419,51
packetcount,S2,1612299295,802,51
packetcount,S1,1612299295,792,51
bitrate,S1,1612299295,9136512,51
bitrate,Gold,1612299295,14956224,51
packetcount,Gold,1612299295,1277,51
bitrate,Gold,1612299296,15260736,52
packetcount,Gold,1612299296,1303,52
bitrate,S2,1612299296,9240336,52
packetcount,S1,1612299296,802,52
packetcount,S2,1612299296,801,52
bitrate,S1,1612299296,9251872,52
packetcount,Bronze,1612299296,1383,52
bitrate,Bronze,1612299296,16197696,52
packetcount,S2,1612299297,799,53
bitrate,S2,1612299297,9217264,53
packetcount,Gold,1612299297,1015,53
bitrate,Gold,1612299297,11887680,53
packetcount,S1,1612299297,797,53
bitrate,S1,1612299297,9194192,53
packetcount,Bronze,1612299297,1678,53
bitrate,Bronze,1612299297,19652736,53
packetcount,Gold,1612299298,1198,54
bitrate,Gold,1612299298,14030976,54
packetcount,S2,1612299298,804,54
bitrate,S2,1612299298,9274944,54
packetcount,S1,1612299298,795,54
bitrate,S1,1612299298,9171120,54
packetcount,Bronze,1612299298,1492,54
bitrate,Bronze,1612299298,17474304,54
packetcount,Gold,1612299299,1024,55
bitrate,Gold,1612299299,11993088,55
packetcount,S2,1612299299,801,55
bitrate,S2,1612299299,9240336,55
packetcount,S1,1612299299,799,55
bitrate,S1,1612299299,9217264,55
packetcount,Bronze,1612299299,1665,55
bitrate,Bronze,1612299299,19500480,55
packetcount,S2,1612299300,801,56
packetcount,Gold,1612299300,1523,56
bitrate,Gold,1612299300,17837376,56
bitrate,S2,1612299300,9240336,56
bitrate,S1,1612299300,9136512,56
packetcount,S1,1612299300,792,56
packetcount,Bronze,1612299300,1173,56
bitrate,Bronze,1612299300,13738176,56
packetcount,Bronze,1612299301,1450,57
bitrate,Bronze,1612299301,16982400,57
packetcount,Gold,1612299301,1241,57
packetcount,S1,1612299301,797,57
bitrate,S2,1612299301,9240336,57
packetcount,S2,1612299301,801,57
bitrate,S1,1612299301,9194192,57
bitrate,Gold,1612299301,14534592,57
bitrate,Gold,1612299302,16560768,58
packetcount,Gold,1612299302,1414,58
packetcount,S2,1612299302,803,58
bitrate,S2,1612299302,9263408,58
